,Animation Length,Torso Verticality Mean,Torso Verticality Std.,Instability,Root Energy,Hand Energy,Foot Energy,Head Energy
01_01,2751,0.9434578214,0.0830702301,2.229912852,0.2168129378,0.2168129378,0.1811321448,0.0524483361
01_02,4346,0.7426306215,0.2203702667,8.0508316613,0.1828849113,0.1828849113,0.21963512100000002,0.0446723962
01_03,4510,0.7966046409,0.2117970387,10.3809100401,0.24088543010000002,0.24088543010000002,0.2205179543,0.061694337700000004
01_04,4298,0.9298464310000001,0.0730168803,4.0094105309,0.1470431828,0.1470431828,0.1815453881,0.0331666115
01_05,4376,0.7930707994,0.22740985900000002,4.2482183522,0.21341336230000002,0.21341336230000002,0.2179808329,0.0498926026
01_06,5133,0.9011821608,0.1327734424,3.9942496653,0.1553559886,0.1553559886,0.2112074157,0.0339753041
01_07,4839,0.8856308363000001,0.153797609,6.1690809513,0.2032101256,0.2032101256,0.2368716981,0.0481056723
01_08,2610,0.8829729476,0.1656476654,8.4075899163,0.2338690819,0.2338690819,0.2213029884,0.0581429891
01_09,4242,0.8640012567,0.1699009545,8.4771475416,0.2246041363,0.2246041363,0.2514903573,0.0566859491
01_10,3266,0.8887314662,0.1075352889,5.6032044195,0.2549692555,0.2549692555,0.24405535820000002,0.0607518259
01_11,4654,0.8848525404,0.15828265390000001,4.2992625132,0.1943338879,0.1943338879,0.2117784504,0.0397111932
01_12,4109,0.9428884418000001,0.0650949145,4.3219205903999995,0.21412565500000003,0.21412565500000003,0.250425615,0.0468887889
01_13,3385,0.9178864793,0.10203552390000001,3.6100506614,0.3332396188,0.3332396188,0.3390855311,0.0692215608
01_14,2338,0.9475041366,0.08460078780000001,4.0820447623,0.2958822285,0.2958822285,0.40552751060000003,0.059796346300000004
02_01,343,0.9991731254,0.0008561930000000001,2.4623210799,0.2008754235,0.2008754235,0.3914774117,0.0181174141
02_02,298,0.9958791272,0.0034616554000000003,2.9260296271,0.28277739,0.28277739,0.5085504972,0.026022302100000002
02_03,173,0.9867652910000001,0.0106740957,3.5370621931,0.3659632466,0.3659632466,0.6041305313,0.0456779628
02_04,483,0.8925925756,0.1606668906,1.6855937682,0.2568239373,0.2568239373,0.1472390092,0.0810705915
02_05,1854,0.8995033306,0.1179977299,1.7799734864,0.2521523859,0.2521523859,0.0497063228,0.07393419100000001
02_06,2235,0.7284282676,0.3198489523,2.2223823295,0.1778192025,0.1778192025,0.1116328847,0.08002250770000001
02_07,2251,0.8947105698000001,0.1350049874,1.5193605625000002,0.30782821380000003,0.30782821380000003,0.0486522802,0.0693864855
02_08,1500,0.9615136914,0.0750361296,2.0511515981,0.2848287311,0.2848287311,0.079949303,0.0311400977
02_09,1033,0.9262235623,0.1099074684,2.5631049243,0.21880075100000002,0.21880075100000002,0.0897367771,0.0325263376
02_10,2645,0.8278795937000001,0.3012187846,1.8044597048000002,0.13894835590000001,0.13894835590000001,0.0476689314,0.057044944800000004
03_01,432,0.9768880394,0.0124311838,7.6688997671,0.1271052372,0.1271052372,0.25993330470000003,0.04099281
03_02,365,0.9785434301,0.012388032200000001,8.282480335,0.2086365228,0.2086365228,0.2995646105,0.0470697839
03_03,4563,0.9686254428000001,0.0223891547,5.8853031675,0.1534858004,0.1534858004,0.27678418850000003,0.045723014000000006
03_04,4722,0.964584403,0.0224463448,5.1866912365,0.14708267590000002,0.14708267590000002,0.2718941693,0.0430314105
05_01,598,0.9980265110000001,0.0016965928,5.5844662607,0.1252876813,0.1252876813,0.3143116185,0.029768564
05_02,1123,0.9752845111,0.0363430286,4.0397260773,0.2933388502,0.2933388502,0.1118215006,0.0409732746
05_03,434,0.8961404552000001,0.11681355430000001,4.7333387853,0.44915530330000003,0.44915530330000003,0.3094385134,0.0718223368
05_04,1199,0.9549656039000001,0.0819832722,2.7748681164,0.2625911547,0.2625911547,0.1616446575,0.0456500946
05_05,915,0.9655660749,0.0446165632,5.1914797417,0.4018325419,0.4018325419,0.3273904654,0.049029602400000004
05_06,885,0.7541595288,0.545182748,5.7055521921,0.6287773472,0.6287773472,0.4380663393,0.10839489170000001
05_07,1191,0.9555416313,0.11065922010000001,4.9103625013,0.3481834822,0.3481834822,0.2929634658,0.0640205118
05_08,721,0.9743896229000001,0.0313527562,6.0044406623,0.5695673453,0.5695673453,0.4455260405,0.0759768017
05_09,1143,0.9795020284,0.0294256289,2.4565655741,0.19744830030000002,0.19744830030000002,0.1761978628,0.034743303
05_10,817,0.9668035948,0.0437039446,3.451259862,0.2975181188,0.2975181188,0.2466785078,0.0360562906
05_11,591,0.9541618625,0.0519939944,3.2781461012,0.6029385622,0.6029385622,0.307866904,0.0617988503
05_12,1354,0.9903245343,0.0149536901,1.9995030138,0.1217448374,0.1217448374,0.0731718413,0.028164920700000002
05_13,1095,0.9957890466,0.0066216699,3.9517042009,0.3943068476,0.3943068476,0.2370334325,0.041917776600000005
05_14,642,0.9900432806,0.011123916400000001,7.6929745818,0.4161869617,0.4161869617,0.3869287309,0.061879576900000004
05_15,540,0.9870403271,0.0160733801,7.3300837715,0.4694370358,0.4694370358,0.4031143085,0.0721620509
05_16,525,0.9730479357,0.020776284500000002,7.9549199947,0.596375426,0.596375426,0.7747540397,0.0712830991
05_17,1043,0.9827828740000001,0.0204514152,5.3244596045,0.3549662213,0.3549662213,0.4085962087,0.0478162925
05_18,1829,0.9854148332,0.023301318300000002,2.6883241898,0.2185168788,0.2185168788,0.18120721210000001,0.0354574974
05_19,860,0.9748090725,0.0283368472,4.4164808433000005,0.4263951302,0.4263951302,0.3462484846,0.0634522262
05_20,1095,0.9889420216,0.013873922200000001,3.6390822304,0.3045636846,0.3045636846,0.2583639227,0.0452524927
06_01,494,0.9940768011000001,0.0027607981,4.8448863179,0.0933677515,0.0933677515,0.3428119008,0.0193232092
06_02,721,0.9838133972,0.0139696386,3.5241179133,0.1642412957,0.1642412957,0.2664291508,0.0197433272
06_03,527,0.9818422927,0.0076451845,3.6283993352,0.2083769033,0.2083769033,0.3152983407,0.022885605700000002
06_04,396,0.9752333958,0.0149663741,4.4015469443,0.17098530150000002,0.17098530150000002,0.4289811195,0.0252145767
06_05,385,0.9801004676,0.0082080712,4.1674116,0.21241291550000002,0.21241291550000002,0.3873660212,0.0209527778
06_06,402,0.9225063213,0.0432822605,3.6898790155,0.19698672720000002,0.19698672720000002,0.3981153085,0.0327123382
06_07,576,0.9082719330000001,0.0871130433,4.0966762846,0.2046924424,0.2046924424,0.33247567440000003,0.0477392631
06_08,342,0.7636070588,0.0424519893,5.9320147999,0.1980402188,0.1980402188,0.3816474468,0.0406810013
06_09,301,0.7695828023,0.0311256538,5.1373407761,0.2198671992,0.2198671992,0.4308769174,0.0377929414
06_10,1113,0.9312679311000001,0.037984573300000005,3.663928024,0.2273605556,0.2273605556,0.1858215383,0.030458646800000003
06_11,1146,0.9656096393,0.012559396700000001,4.5208789824,0.2105526463,0.2105526463,0.200330317,0.0272429193
06_12,1222,0.9467053077,0.0275900356,3.9707890205,0.2108109287,0.2108109287,0.19107472550000001,0.0331534439
06_13,4905,0.7172423711,0.1844441108,5.7857207105,0.2859973873,0.2859973873,0.3856174237,0.0713464685
06_14,479,0.9325223648000001,0.07410723450000001,6.1665450113,0.2924989072,0.2924989072,0.16781459340000002,0.0433142212
06_15,545,0.9379612501000001,0.08955064600000001,3.8232975041,0.2619713738,0.2619713738,0.1342423167,0.0411055399
07_01,316,0.9974418209,0.001834502,2.837426533,0.2615076311,0.2615076311,0.4535362363,0.018394377
07_02,329,0.9977603650000001,0.0012990011,2.8800458033,0.2369146054,0.2369146054,0.4356392401,0.020148796
07_03,415,0.9992137058,0.0006945134,3.524856141,0.16930512590000002,0.16930512590000002,0.35065570960000003,0.019237916100000002
07_04,449,0.9975339402000001,0.0012312222,2.9721239632,0.1231379726,0.1231379726,0.3235189392,0.0175444976
07_05,517,0.9977110335,0.0017217979,3.1289823107,0.1359208197,0.1359208197,0.3196197764,0.0161542766
07_06,417,0.9992004625,0.0009198945,4.013767735,0.2231493243,0.2231493243,0.41119204340000004,0.0193726894
07_07,379,0.9996889654000001,0.0003233312,2.2477004664,0.2299048575,0.2299048575,0.4266359045,0.0182228881
07_08,362,0.999209946,0.0005728984,2.3973682794,0.22902784850000002,0.22902784850000002,0.4460674328,0.022887167
07_09,306,0.9993570297000001,0.00046712500000000004,4.1992902112,0.25767562050000004,0.25767562050000004,0.4773102651,0.0216254297
07_10,301,0.9993338279,0.00049799,3.3876761347,0.2904163345,0.2904163345,0.5191968328000001,0.019040294200000002
07_11,315,0.9973087634000001,0.0019824916,3.5083411587,0.3560004135,0.3560004135,0.5424731983000001,0.0267143725
07_12,263,0.9987464140000001,0.0015629726000000001,23.8814698979,0.387401325,0.387401325,0.6323272833,0.0295289323
08_01,277,0.9975931628,0.0014836810000000001,3.0323185999,0.3357082307,0.3357082307,0.4908618796,0.0232304168
08_02,309,0.9983442869,0.0007970295,3.0537348554,0.3600141468,0.3600141468,0.4833291643,0.021748669
08_03,353,0.9980996459,0.0012037566,2.786866704,0.3152611261,0.3152611261,0.47774495180000004,0.0227667686
08_04,484,0.9970869079,0.0018584064,2.5780802511000003,0.2421789957,0.2421789957,0.3518704069,0.0213529919
08_05,298,0.9970562808000001,0.0016792037,4.8158923923,0.4761979575,0.4761979575,0.5108293679,0.0291016719
08_06,296,0.996703906,0.0012097799000000001,2.7567218304,0.3489887051,0.3489887051,0.5460370336,0.0220955987
08_07,302,0.9777646204,0.0148234041,7.0867177284,0.5624991728000001,0.5624991728000001,0.5345447256,0.051826941700000004
08_08,283,0.9958148640000001,0.0019835720000000003,3.1947363224,0.3359545487,0.3359545487,0.5401037277,0.025017917
08_09,293,0.9957357972,0.0029921208000000003,4.1032010745,0.31890407800000004,0.31890407800000004,0.5408635686000001,0.0302587455
08_10,275,0.9976967255,0.0008660978000000001,2.7195680463,0.3460561263,0.3460561263,0.5177373773,0.0233273722
08_11,375,0.9907377871,0.0065897752,2.9320133206000003,0.2134592551,0.2134592551,0.3983867788,0.0306566952
09_01,148,0.969961955,0.0094050357,5.1160986359,0.3116293359,0.3116293359,0.8241737371000001,0.0408563777
09_02,130,0.9621025970000001,0.009907054700000001,3.8927629317,0.28912001530000003,0.28912001530000003,0.8074946255000001,0.0402700363
